,timestamp,market-price
0,2015-07-08,265.83
1,2015-07-09,270.31
2,2015-07-10,269.0
3,2015-07-11,284.92
4,2015-07-12,291.64
5,2015-07-13,310.55
6,2015-07-14,291.94
7,2015-07-15,287.92
8,2015-07-16,285.66
9,2015-07-17,277.78
10,2015-07-18,279.43
11,2015-07-19,276.74
12,2015-07-20,275.47
13,2015-07-21,279.01
14,2015-07-22,276.76
15,2015-07-23,277.97
16,2015-07-24,276.59
17,2015-07-25,289.0
18,2015-07-26,288.78
19,2015-07-27,292.82
20,2015-07-28,293.93
21,2015-07-29,293.92
22,2015-07-30,290.2
23,2015-07-31,288.45
24,2015-08-01,284.31
25,2015-08-02,280.95
26,2015-08-03,282.26
27,2015-08-04,281.12
28,2015-08-05,285.0
29,2015-08-06,281.0
30,2015-08-07,277.08
31,2015-08-08,279.32
32,2015-08-09,262.22
33,2015-08-10,265.05
34,2015-08-11,264.47
35,2015-08-12,270.98
36,2015-08-13,267.53
37,2015-08-14,264.48
38,2015-08-15,265.93
39,2015-08-16,261.43
40,2015-08-17,256.11
41,2015-08-18,256.66
42,2015-08-19,222.11
43,2015-08-20,226.25
44,2015-08-21,235.31
45,2015-08-22,233.49
46,2015-08-23,231.0
47,2015-08-24,228.14
48,2015-08-25,210.96
49,2015-08-26,222.13
50,2015-08-27,225.04
51,2015-08-28,225.11
52,2015-08-29,231.52
53,2015-08-30,229.63
54,2015-08-31,228.39
55,2015-09-01,230.25
56,2015-09-02,227.97
57,2015-09-03,229.26
58,2015-09-04,227.24
59,2015-09-05,230.73
60,2015-09-06,235.74
61,2015-09-07,240.2
62,2015-09-08,240.47
63,2015-09-09,244.21
64,2015-09-10,238.3
65,2015-09-11,238.81
66,2015-09-12,239.94
67,2015-09-13,234.73
68,2015-09-14,230.0
69,2015-09-15,229.71
70,2015-09-16,229.54
71,2015-09-17,228.33
72,2015-09-18,232.17
73,2015-09-19,232.52
74,2015-09-20,230.25
75,2015-09-21,230.16
76,2015-09-22,226.27
77,2015-09-23,230.42
78,2015-09-24,229.42
79,2015-09-25,234.0
80,2015-09-26,235.22
81,2015-09-27,233.99
82,2015-09-28,232.41
83,2015-09-29,239.14
84,2015-09-30,236.94
85,2015-10-01,236.17
86,2015-10-02,238.03
87,2015-10-03,237.77
88,2015-10-04,239.09
89,2015-10-05,238.4
90,2015-10-06,240.6
91,2015-10-07,246.8
92,2015-10-08,243.01
93,2015-10-09,243.01
94,2015-10-10,244.49
95,2015-10-11,245.72
96,2015-10-12,248.04
97,2015-10-13,245.5
98,2015-10-14,249.98
99,2015-10-15,252.47
100,2015-10-16,254.5
101,2015-10-17,262.26
102,2015-10-18,270.04
103,2015-10-19,261.04
104,2015-10-20,263.59
105,2015-10-21,270.75
106,2015-10-22,267.97
107,2015-10-23,274.35
108,2015-10-24,278.62
109,2015-10-25,282.71
110,2015-10-26,282.8
111,2015-10-27,286.69
112,2015-10-28,295.35
113,2015-10-29,304.79
114,2015-10-30,314.81
115,2015-10-31,328.17
116,2015-11-01,310.18
117,2015-11-02,325.79
118,2015-11-03,361.54
119,2015-11-04,404.5
120,2015-11-05,408.0
121,2015-11-06,386.04
122,2015-11-07,373.69
123,2015-11-08,387.02
124,2015-11-09,371.08
125,2015-11-10,380.62
126,2015-11-11,336.29
127,2015-11-12,308.98
128,2015-11-13,340.81
129,2015-11-14,336.99
130,2015-11-15,332.06
131,2015-11-16,318.97
132,2015-11-17,330.72
133,2015-11-18,336.01
134,2015-11-19,333.66
135,2015-11-20,325.9
136,2015-11-21,322.12
137,2015-11-22,326.31
138,2015-11-23,323.78
139,2015-11-24,323.48
140,2015-11-25,319.64
141,2015-11-26,328.9
142,2015-11-27,356.33
143,2015-11-28,358.0
144,2015-11-29,356.4
145,2015-11-30,371.0
146,2015-12-01,377.27
147,2015-12-02,362.58
148,2015-12-03,359.08
149,2015-12-04,361.47
150,2015-12-05,363.78
151,2015-12-06,386.95
152,2015-12-07,387.3
153,2015-12-08,394.87
154,2015-12-09,413.6
155,2015-12-10,416.49
156,2015-12-11,415.15
157,2015-12-12,450.87
158,2015-12-13,436.2
159,2015-12-14,433.39
160,2015-12-15,443.78
161,2015-12-16,463.98
162,2015-12-17,455.47
163,2015-12-18,456.58
164,2015-12-19,463.0
165,2015-12-20,461.75
166,2015-12-21,442.54
167,2015-12-22,438.35
168,2015-12-23,435.28
169,2015-12-24,442.54
170,2015-12-25,456.0
171,2015-12-26,455.5
172,2015-12-27,417.11
173,2015-12-28,422.42
174,2015-12-29,420.97
175,2015-12-30,433.23
176,2015-12-31,428.23
177,2016-01-01,430.89
178,2016-01-02,434.75
179,2016-01-03,432.76
180,2016-01-04,430.78
181,2016-01-05,434.17
182,2016-01-06,432.43
183,2016-01-07,429.26
184,2016-01-08,458.66
185,2016-01-09,452.64
186,2016-01-10,448.47
187,2016-01-11,448.43
188,2016-01-12,447.98
189,2016-01-13,437.0
190,2016-01-14,432.63
191,2016-01-15,429.55
192,2016-01-16,363.75
193,2016-01-17,387.87
194,2016-01-18,380.16
195,2016-01-19,385.49
196,2016-01-20,377.41
197,2016-01-21,420.35
198,2016-01-22,409.62
199,2016-01-23,381.5
200,2016-01-24,385.09
201,2016-01-25,403.19
202,2016-01-26,390.92
203,2016-01-27,391.66
204,2016-01-28,394.36
205,2016-01-29,379.82
206,2016-01-30,378.18
207,2016-01-31,376.6
208,2016-02-01,367.86
209,2016-02-02,371.99
210,2016-02-03,373.05
211,2016-02-04,368.46
212,2016-02-05,388.0
213,2016-02-06,384.07
214,2016-02-07,375.29
215,2016-02-08,375.0
216,2016-02-09,371.55
217,2016-02-10,373.46
218,2016-02-11,379.14
219,2016-02-12,378.02
220,2016-02-13,382.62
221,2016-02-14,389.88
222,2016-02-15,405.08
223,2016-02-16,399.21
224,2016-02-17,407.0
225,2016-02-18,414.87
226,2016-02-19,420.53
227,2016-02-20,419.98
228,2016-02-21,435.19
229,2016-02-22,438.0
230,2016-02-23,436.76
231,2016-02-24,419.25
232,2016-02-25,423.79
233,2016-02-26,423.46
234,2016-02-27,430.0
235,2016-02-28,431.59
236,2016-02-29,431.89
237,2016-03-01,436.75
238,2016-03-02,433.66
239,2016-03-03,422.5
240,2016-03-04,420.06
241,2016-03-05,408.4
242,2016-03-06,399.17
243,2016-03-07,405.69
244,2016-03-08,412.37
245,2016-03-09,412.15
246,2016-03-10,412.84
247,2016-03-11,416.0
248,2016-03-12,420.11
249,2016-03-13,409.9
250,2016-03-14,412.85
251,2016-03-15,414.99
252,2016-03-16,415.7
253,2016-03-17,416.64
254,2016-03-18,418.49
255,2016-03-19,407.96
256,2016-03-20,409.11
257,2016-03-21,411.81
258,2016-03-22,411.95
259,2016-03-23,416.39
260,2016-03-24,417.96
261,2016-03-25,415.17
262,2016-03-26,415.98
263,2016-03-27,416.96
264,2016-03-28,425.0
265,2016-03-29,422.86
266,2016-03-30,415.83
267,2016-03-31,413.74
268,2016-04-01,414.83
269,2016-04-02,416.31
270,2016-04-03,419.13
271,2016-04-04,418.51
272,2016-04-05,419.71
273,2016-04-06,421.66
274,2016-04-07,421.6
275,2016-04-08,419.95
276,2016-04-09,417.86
277,2016-04-10,418.58
278,2016-04-11,420.75
279,2016-04-12,422.63
280,2016-04-13,425.69
281,2016-04-14,423.87
282,2016-04-15,424.38
283,2016-04-16,429.45
284,2016-04-17,430.58
285,2016-04-18,427.31
286,2016-04-19,427.42
287,2016-04-20,435.95
288,2016-04-21,441.82
289,2016-04-22,451.0
290,2016-04-23,447.7
291,2016-04-24,451.92
292,2016-04-25,460.03
293,2016-04-26,462.5
294,2016-04-27,467.55
295,2016-04-28,445.29
296,2016-04-29,449.98
297,2016-04-30,455.97
298,2016-05-01,448.84
299,2016-05-02,453.0
300,2016-05-03,443.84
301,2016-05-04,450.61
302,2016-05-05,446.84
303,2016-05-06,449.37
304,2016-05-07,458.98
305,2016-05-08,459.02
306,2016-05-09,458.31
307,2016-05-10,460.66
308,2016-05-11,450.78
309,2016-05-12,452.84
310,2016-05-13,454.26
311,2016-05-14,455.82
312,2016-05-15,456.31
313,2016-05-16,457.34
314,2016-05-17,454.0
315,2016-05-18,453.08
316,2016-05-19,452.99
317,2016-05-20,436.05
318,2016-05-21,442.52
319,2016-05-22,443.21
320,2016-05-23,438.47
321,2016-05-24,442.99
322,2016-05-25,444.1
323,2016-05-26,448.7
324,2016-05-27,452.05
325,2016-05-28,469.98
326,2016-05-29,526.64
327,2016-05-30,511.3
328,2016-05-31,526.42
329,2016-06-01,531.97
330,2016-06-02,538.37
331,2016-06-03,538.0
332,2016-06-04,567.88
333,2016-06-05,573.85
334,2016-06-06,573.91
335,2016-06-07,583.72
336,2016-06-08,578.07
337,2016-06-09,583.1
338,2016-06-10,574.32
339,2016-06-11,577.95
340,2016-06-12,608.01
341,2016-06-13,665.85
342,2016-06-14,704.5
343,2016-06-15,685.19
344,2016-06-16,693.88
345,2016-06-17,765.0
346,2016-06-18,746.63
347,2016-06-19,751.96
348,2016-06-20,759.35
349,2016-06-21,724.04
350,2016-06-22,664.46
351,2016-06-23,592.81
352,2016-06-24,622.08
353,2016-06-25,665.0
354,2016-06-26,660.44
355,2016-06-27,630.19
356,2016-06-28,651.85
357,2016-06-29,645.15
358,2016-06-30,635.99
359,2016-07-01,667.95
360,2016-07-02,675.63
361,2016-07-03,701.41
362,2016-07-04,656.97
363,2016-07-05,681.98
364,2016-07-06,668.0
365,2016-07-07,673.76
366,2016-07-08,638.5
367,2016-07-09,663.0
368,2016-07-10,647.41
369,2016-07-11,648.35
370,2016-07-12,649.33
371,2016-07-13,664.5
372,2016-07-14,652.87
373,2016-07-15,659.12
374,2016-07-16,663.19
375,2016-07-17,661.32
376,2016-07-18,679.58
377,2016-07-19,673.46
378,2016-07-20,674.95
379,2016-07-21,667.5
380,2016-07-22,664.0
381,2016-07-23,649.75
382,2016-07-24,655.53
383,2016-07-25,661.48
384,2016-07-26,654.98
385,2016-07-27,651.16
386,2016-07-28,655.37
387,2016-07-29,655.54
388,2016-07-30,654.88
389,2016-07-31,654.68
390,2016-08-01,623.91
391,2016-08-02,605.56
392,2016-08-03,530.74
393,2016-08-04,564.01
394,2016-08-05,577.44
395,2016-08-06,572.72
396,2016-08-07,589.5
397,2016-08-08,592.56
398,2016-08-09,591.69
399,2016-08-10,584.98
400,2016-08-11,591.5
401,2016-08-12,586.01
402,2016-08-13,585.91
403,2016-08-14,583.34
404,2016-08-15,567.34
405,2016-08-16,565.69
406,2016-08-17,574.94
407,2016-08-18,570.92
408,2016-08-19,570.3
409,2016-08-20,572.84
410,2016-08-21,577.52
411,2016-08-22,577.24
412,2016-08-23,583.3
413,2016-08-24,581.98
