,text,neg,neu,pos,compound
11622,"A strong team with a great project 'Cerlos project' love being a part of the movement and wish success to all team members and developers
#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale https://twitter.com/Moxy_CERLOS/status/1235886903221682176 …",0.0,0.633,0.367,0.9584
9707,"cerlos best project,Do not lose this wonderful opportunity and join us. We will be glad to see you in our ranks
#BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale https://cerlos.io/ ",0.0,0.58,0.42,0.9574
12753,"I am sure that investing to this project is the best investment! This project worthwhile, it is clear that a young competent team tried to do everything perfectly! #cerlos #IEO #STO #buildingmaterials #sustainable #sustainability #Crowdsale #BTC #Blockchain #Token #ETH #TokenSale",0.0,0.633,0.367,0.9558
13560,"interesting project with great prospects! A good and confident start, a large team that is interested 
 #cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale. https://cerlos.io ",0.0,0.549,0.451,0.9523
12114,This project according to many experts deserves to be the best in their field. The project has a professional team and a brilliant idea. I recommend to everyone to join this wonderful project #cerlos #sto #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin,0.0,0.652,0.348,0.9522
3071,Why we love linen? It’s super sustainable to produce. It has a super super long lifespan 🙌🌱🙏 #sustainability #Sustainable #linen #linenclothing #fashion #ethicalfashion #sustainablefashion,0.0,0.544,0.456,0.9509
9869,Great project with a great idea for development. The CERLOS project team has created amazing conditions for maintaining and improving the quality of life.#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #ETH #Ethereum #TokenSale,0.0,0.633,0.367,0.9501
11669,"Great project with a great future, 
Great team with good products,
they knows the business!and they never stop to impress us!!
website :  https://cerlos.io/ 
#cerlos #IEO #STO #buildingmaterials #sustainable
#sustainability #Crowdsale #Bitcoin #Blockchain #ETH #TokenSale.",0.051,0.57,0.379,0.9482
14255,"The project is good I am confident Its team is very good And I believe this project will grow very quickly best of luck
#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.645,0.355,0.9475
10966,"@Moxy_CERLOS 
Very interesting and promising project that will be the best in its field. Rating sites show great prospects for this project. .#cerlo#cerlo#cerlos #STO. #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.638,0.362,0.9473
4757,"We would like to once again recognize @IntevaProducts on winning the 2019 BIG Sustainability Awards! Congratulations! Nominations for the 2020 BIG Sustainability Awards are open now. #BIGAwards #Sustainability #Sustainable
 https://buff.ly/2SsHe6B  pic.twitter.com/WB0KGmxbSd",0.0,0.613,0.387,0.9467
4233,"We would like to once again recognize @VEONGroup on winning the 2019 BIG Sustainability Awards! Congratulations! Nominations for the 2020 BIG Sustainability Awards are open now. #BIGAwards #Sustainability #Sustainable
 https://buff.ly/3dtCKER  pic.twitter.com/oCPpNxPgmk",0.0,0.613,0.387,0.9467
3430,"We would like to once again recognize @VEONGroup on winning the 2019 BIG Sustainability Awards! Congratulations! Nominations for the 2020 BIG Sustainability Awards are open now. #BIGAwards #Sustainability #Sustainable
 https://buff.ly/2YYUTX7  pic.twitter.com/bJL0gS61Sz",0.0,0.613,0.387,0.9467
783,"We would like to once again recognize DARIACORDAR on winning the 2019 BIG Sustainability Awards! Congratulations! Nominations for the 2020 BIG Sustainability Awards are open now. #BIGAwards #Sustainability #Sustainable
 https://buff.ly/305Ta2z  pic.twitter.com/w7LFtR9r2N",0.0,0.613,0.387,0.9467
2691,"We would like to once again recognize HUB Folding Box on winning the 2019 BIG Sustainability Awards! Congratulations! Nominations for the 2020 BIG Sustainability Awards are open now. #BIGAwards #Sustainability #Sustainable
 https://buff.ly/2WOvNbO  pic.twitter.com/lrxT85u6Xq",0.0,0.631,0.369,0.9467
1998,"We would like to once again recognize @Covanta on winning the 2019 BIG Sustainability Awards! Congratulations! Nominations for the 2020 BIG Sustainability Awards are open now. #BIGAwards #Sustainability #Sustainable
 https://buff.ly/2ZLq34s  pic.twitter.com/aWWImPn1xW",0.0,0.613,0.387,0.9467
9773,"Excellent project, with excellent advisors, I'm sure that the project has a great future, I recommend investing. #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.551,0.449,0.946
9722,"#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain
Great love this project and the members here great to be a part.This is a project that should improve the reputation of our crypto projects in the world market.",0.0,0.677,0.323,0.946
7086,"When delicious flavours come together, a truly special kind of chocolate bar is born. Here at Divine we are proud that all our chocolate bars are #palmoilfree, #natural & #fairtrade!
#compassion #bethechange #sustainable #ethical #eco #sustainability#sustainableliving #chocolate pic.twitter.com/gGXZq57AG7",0.0,0.656,0.344,0.9459
7063,"When delicious flavours come together, a truly special kind of chocolate bar is born. Here at Divine we are proud that all our chocolate bars are #palmoilfree, #natural & #fairtrade!
#compassion #bethechange #sustainable #ethical #eco #sustainability#sustainableliving #chocolate pic.twitter.com/gtny2MrJlN",0.0,0.656,0.344,0.9459
9695,"Sitting on the beach and taking pictures! 
Now that we know how lucky we are to have such a great blessing, we have to reflect on our actions and promise ourselves that we would be mindful of such blessings.
#gymtoswim #sustainability #ecofriendly #sustainable #sustainableliving pic.twitter.com/1iCUhb4PnS",0.0,0.707,0.293,0.945
6145,"We are looking to give one lucky person a huge jump-start on going green with this fantastic eco friendly product bundle giveaway!

Enter for free at  https://www.ecoshoots.com/giveaway/starterkit …
#ecofriendlyliving #ecofriendly #Sustainability #sustainable #zerowaste #environment #ClimateChange pic.twitter.com/rXa3Ykqt9o",0.0,0.642,0.358,0.9446
6107,"ECOLOGIC : STAY SAFE, EAT HEALTHY, SHOP SMART

13th Apr 2020, New Indian Express: Weekly article on #sustainability and #sustainable living titled #ECOLOGIC. Article talks about staying safe, eating healthy and delivery hygiene.

 http://shilpaarchitects.com/ecologic-stay-safe-eat-healthy-shop-smart/ …",0.0,0.635,0.365,0.9442
6122,"ECOLOGIC : STAY SAFE, EAT HEALTHY & SHOP SMART 

13 Apr 2020, New Indian Express: Weekly article on #sustainability and #sustainable living titled #ECOLOGIC. Article talks about staying safe, eating healthy and delivery hygiene. http://shilpaarchitects.com/ecologic-stay-safe-eat-healthy-shop-smart/ …",0.0,0.635,0.365,0.9442
9599,Recommend! I believe this is project in the hands of its experts. You guys are one of the few legit projects. I love this project. Great idea. Very thankful to the dev and team of this big project. #cerlos #sto #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin,0.0,0.721,0.279,0.944
8994,"Brilliant fantastic project ! Project looks wonderful , can’t wait to see how it develops I really like what I see, and look forward to seeing it on top.
#IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale.",0.0,0.667,0.333,0.9431
