id,conversation_id,created_at,date,time,timezone,user_id,place,tweet,mentions,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,retweet_date,translate,trans_src,trans_dest
1.26376E+18,1.26376E+18,1.59014E+12,5/22/2020,08:55:03,UTC,235589983,,Have you done a marathon of the #MCU yet? Here's our watch list to guide you. #IronMan #CaptainAmerica #BlackWidow #Hawkeye #Vision #Avengers #BlackPanther #CaptainMarvel #Thanos #Loki #Thor http://ow.ly/niNI50yRSwV ,[],[],0,0,0,"['#mcu', '#ironman', '#captainamerica', '#blackwidow', '#hawkeye', '#vision', '#avengers', '#blackpanther', '#captainmarvel', '#thanos', '#loki', '#thor']",[],https://twitter.com/AP2HYC/status/1263755241121632261,FALSE,,0,,,,,,,,,,
1.26375E+18,1.26375E+18,1.59014E+12,5/22/2020,08:52:44,UTC,8.44329E+17,,Got my BF to finally watch #marvel and tell my his favorite has to be #thanos 😐,[],[],1,1,0,"['#marvel', '#thanos']",[],https://twitter.com/khloe_kochh/status/1263754658046251009,FALSE,,0,,,,,,,,,,
1.26375E+18,1.26375E+18,1.59014E+12,5/22/2020,08:42:45,UTC,14418272,,"Acabo de conocer #Thanos. 
Permite guardar métricas de #prometheus en backends de tipo objeto para tener larga retención de éstas. Y luego puedes recuperarlas para el análisis en grafana u otros: https://www.openshift.com/blog/thanos-long-term-storage-for-your-prometheus-metrics-on-openshift …",[],[],0,1,1,"['#thanos', '#prometheus']",[],https://twitter.com/nachoad/status/1263752143355490307,FALSE,,0,,,,,,,,,,
1.26375E+18,1.26375E+18,1.59014E+12,5/22/2020,08:18:09,UTC,1.09019E+18,,"🔳CURIOSITÀ🔳
#Thanos è stato eletto il miglior villain della storia del cinema. Davanti a #DarthVader  e #Joker .

#jokermovie #AvengersEndgame
#StarWars #22maggio #coronavirus #rassegnastampa #Avengers #AvengersInfinityWar #IronMan #CaptainAmerica #Thor pic.twitter.com/H5y1kFalpU",[],['https://pbs.twimg.com/media/EYm6PcsXsAApAUY.jpg'],3,3,14,"['#thanos', '#darthvader', '#joker', '#jokermovie', '#avengersendgame', '#starwars', '#22maggio', '#coronavirus', '#rassegnastampa', '#avengers', '#avengersinfinitywar', '#ironman', '#captainamerica', '#thor']",[],https://twitter.com/MarvelFansIT/status/1263745954181718016,FALSE,,0,,,,,,,,,,
1.26374E+18,1.26374E+18,1.59013E+12,5/22/2020,07:56:00,UTC,66677398,,MIGHTY THORSDAY WITH #BetaRayBill VARIANTS #comicbooks @Kenhaeser #sketches #signed & REMARKED #Comics #Thor #Avengers #InfinityWar #ironman #Hulk #spiderman #Thanos #CaptainMarvel #captainamerica @DisneyStudios @Marvel  https://www.dynamicforces.com/htmlfiles/infoforspecial.html … pic.twitter.com/T1bJqYVngr,"['kenhaeser', 'disneystudios', 'marvel']",['https://pbs.twimg.com/media/EYi5m3OXgAIq7tq.jpg'],1,0,0,"['#betaraybill', '#comicbooks', '#sketches', '#signed', '#comics', '#thor', '#avengers', '#infinitywar', '#ironman', '#hulk', '#spiderman', '#thanos', '#captainmarvel', '#captainamerica']",[],https://twitter.com/DynamicForces/status/1263740379146444800,FALSE,,0,,,,,,,,,,
1.26372E+18,1.26372E+18,1.59013E+12,5/22/2020,06:51:00,UTC,66677398,,MIGHTY THORSDAY WITH #BetaRayBill VARIANTS #comicbooks @Kenhaeser #sketches #signed & REMARKED #Comics #Thor #Avengers #InfinityWar #ironman #Hulk #spiderman #Thanos #CaptainMarvel #captainamerica @DisneyStudios @Marvel  https://www.dynamicforces.com/htmlfiles/infoforspecial.html … pic.twitter.com/jb7WKpaqZN,"['kenhaeser', 'disneystudios', 'marvel']",['https://pbs.twimg.com/media/EYi0lRbXgAMLI0p.jpg'],1,0,0,"['#betaraybill', '#comicbooks', '#sketches', '#signed', '#comics', '#thor', '#avengers', '#infinitywar', '#ironman', '#hulk', '#spiderman', '#thanos', '#captainmarvel', '#captainamerica']",[],https://twitter.com/DynamicForces/status/1263724021369180160,FALSE,,0,,,,,,,,,,
1.26371E+18,1.26371E+18,1.59013E+12,5/22/2020,05:51:00,UTC,66677398,,MIGHTY THORSDAY WITH #BetaRayBill VARIANTS #comicbooks @Kenhaeser #sketches #signed & REMARKED #Comics #Thor #Avengers #InfinityWar #ironman #Hulk #spiderman #Thanos #CaptainMarvel #captainamerica @DisneyStudios @Marvel  https://www.dynamicforces.com/htmlfiles/infoforspecial.html … pic.twitter.com/q6E75CRZqo,"['kenhaeser', 'disneystudios', 'marvel']",['https://pbs.twimg.com/media/EYi5aLJX0AETdAt.jpg'],1,0,0,"['#betaraybill', '#comicbooks', '#sketches', '#signed', '#comics', '#thor', '#avengers', '#infinitywar', '#ironman', '#hulk', '#spiderman', '#thanos', '#captainmarvel', '#captainamerica']",[],https://twitter.com/DynamicForces/status/1263708921765810177,FALSE,,0,,,,,,,,,,
1.2637E+18,1.2637E+18,1.59013E+12,5/22/2020,05:30:36,UTC,1.25226E+18,,"Let's kill him properly this time....'
-
-
-
-
-
-
-
-
-#legophotograph #legophotographers #legophotographer #legophotos #legophoto #mrmartoy #avengersendgame #thanos #ironman #thor #captainamerica #legocaptainamerica #legoironman #legothor #legomarvel #marvelstudios #Endgame pic.twitter.com/TNYOfsMnPu",[],['https://pbs.twimg.com/media/EYmT4rAU0AEDuHb.jpg'],0,0,0,"['#legophotograph', '#legophotographers', '#legophotographer', '#legophotos', '#legophoto', '#mrmartoy', '#avengersendgame', '#thanos', '#ironman', '#thor', '#captainamerica', '#legocaptainamerica', '#legoironman', '#legothor', '#legomarvel', '#marvelstudios', '#endgame']",[],https://twitter.com/WeyJong/status/1263703787719385088,FALSE,,0,,,,,,,,,,
1.2637E+18,1.2637E+18,1.59012E+12,5/22/2020,05:21:46,UTC,18962247,,"Hey y'all, who are your top ten #MCU villains? My preliminary list goes like this:

1. #Killmonger
2. #Thanos
3. #Dormammu
4. #Ultron
5. #Ronan
6. #Hela
7. #RedSkull
8. #Ego
9. #Mysterio
10. #AlexanderPierce
@freelancer1787 @Freedom_TK","['freelancer1787', 'freedom_tk']",[],2,0,1,"['#mcu', '#killmonger', '#thanos', '#dormammu', '#ultron', '#ronan', '#hela', '#redskull', '#ego', '#mysterio', '#alexanderpierce']",[],https://twitter.com/bobb4jesus/status/1263701564927160320,FALSE,,0,,,,,,,,,,
1.2637E+18,1.2637E+18,1.59012E+12,5/22/2020,05:00:15,UTC,96472080,,#thanos #joshbrolin @prevailactive #avengersedit #marvel #calendar #may #mayo  https://www.instagram.com/p/CAekVhaDXeR/?igshid=10ekp8vbdzoso …,[],[],0,1,1,"['#thanos', '#joshbrolin', '#avengersedit', '#marvel', '#calendar', '#may', '#mayo']",[],https://twitter.com/karreon/status/1263696150051409925,FALSE,,0,,,,,,,,,,
1.26369E+18,1.26369E+18,1.59012E+12,5/22/2020,04:51:00,UTC,66677398,,MIGHTY THORSDAY WITH #BetaRayBill VARIANTS #comicbooks @Kenhaeser #sketches #signed & REMARKED #Comics #Thor #Avengers #InfinityWar #ironman #Hulk #spiderman #Thanos #CaptainMarvel #captainamerica @DisneyStudios @Marvel  https://www.dynamicforces.com/htmlfiles/infoforspecial.html … pic.twitter.com/2gGSd47I51,"['kenhaeser', 'disneystudios', 'marvel']",['https://pbs.twimg.com/media/EYi4ZkhXkAARg0O.jpg'],1,0,0,"['#betaraybill', '#comicbooks', '#sketches', '#signed', '#comics', '#thor', '#avengers', '#infinitywar', '#ironman', '#hulk', '#spiderman', '#thanos', '#captainmarvel', '#captainamerica']",[],https://twitter.com/DynamicForces/status/1263693822459957249,FALSE,,0,,,,,,,,,,
