,0,1,2,3,4,5,6,7,8,9
19,['Vinosia'],['Red still'],['2017'],['\nDOC Primitivo di Manduria\n'],['Apulia'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.42'],['€ 9.64']
20,"[""Ca' dei Frati""]",['Red still'],['2017'],['\nVdT\n'],['Lombardy'],"['10% ', ', ', ', ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 17.04'],['€ 13.40']
21,['Falesco'],['Red still'],['2017'],['\nIGT Lazio\n'],['Lazio'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 11.04'],['€ 8.42']
22,['Serafini e Vidotto'],['Red still'],['2015'],['\nDOC Montello e Colli Asolani Rosso\n'],['Veneto'],"['30% ', ', 55% ', ', 15% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 32.94'],['€ 23.72']
23,['Fontanavecchia'],['Red still'],['2010'],['\nDOCG Aglianico del Taburno Riserva\n'],['Campania'],['100% '],['15.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 21.96'],['€ 18.23']
24,['Carpineto'],['Red still'],['2015'],['\nDOCG Vino Nobile di Montepulciano Riserva\n'],['Tuscany'],"['30% ', ', 70% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 22.02'],['€ 19.86']
25,['Cantine Tornatore'],['Red still'],['2017'],['\nDOC Etna Rosso\n'],['Sicily'],"['5% ', ', 95% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 15.90'],['€ 14.01']
26,['La Vis'],['Red still'],['2018'],['\nDOC Trentino Lagrein\n'],['Trentino Alto Adige'],['100% '],['12.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 8.91'],['€ 7.10']
27,['Il Poggione'],['Red still'],['2015'],"['\n', '\n']",['Tuscany'],['100% '],['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 39.04'],['€ 30.84']
28,['Castello di Nipozzano (Frescobaldi)'],['Red still'],['2016'],['\nDOCG Chianti Rufina Riserva\n'],['Tuscany'],"[', ', ', ', ', ']",['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 15.30'],['€ 13.40']
29,['Riondo'],['Red still'],['2016'],['\nDOC Valpolicella Superiore\n'],['Veneto'],"[', ', ', ']",['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 8.81'],['€ 7.32']
30,['Dettori'],['Red still'],['N/A'],['\nIGT Romangia\n'],['Sardinia'],"[', ', ', ']",['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 12.35'],['€ 10.30']
31,['Cherchi Giovanni'],['Red still'],['2016'],['\nDOC Cannonau di Sardegna Classico\n'],['Sardinia'],['100% '],['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 14.03'],['€ 10.76']
32,['Negrar - Domini Veneti'],['Red still'],['2017'],['\nDOC Valpolicella Ripasso Classico Superiore\n'],['Veneto'],"['65% ', ', 20% ', ', 15% ']",['14.00% by volume'],"['0,75 l Standard']",,['€ 13.30']
33,['Tenuta Campo di Sasso (Biserno)'],['Red still'],['2018'],['\n\nIGT Toscano o Toscana\n'],['Tuscany'],"[', ', ', ', ', ', ', ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 19.31'],['€ 17.30']
34,['Zenato'],['Red still'],['2017'],['\nDOC Valpolicella Classico Superiore\n'],['Veneto'],"['85% ', ', 10% ', ', 5% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 12.69'],['€ 9.86']
35,['Tenuta di Castiglioni (Frescobaldi)'],['Red still'],['2018'],['\nDOCG Chianti\n'],['Tuscany'],"['10% ', ', 90% ']",['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 9.55'],['€ 7.50']
