index,GOOG
2019-10-08,1197.59
2019-10-07,1204.4
2019-10-04,1191.89
2019-10-03,1180.0
2019-10-02,1196.98
2019-10-01,1219.0
2019-09-30,1220.97
2019-09-27,1243.01
2019-09-26,1241.96
2019-09-25,1215.82
2019-09-24,1240.0
2019-09-23,1226.0
2019-09-20,1233.12
2019-09-19,1232.06
2019-09-18,1227.51
2019-09-17,1230.4
2019-09-16,1229.52
2019-09-13,1231.35
2019-09-12,1224.3
2019-09-11,1203.41
2019-09-10,1195.15
